generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,num_attacks
1,133666.000000,66336.000000,33,1132.026752,142730.394243,36.728625,0.391870,2,3,5,77
1,97458.000000,102544.000000,11,2194.749133,725052.977095,40.316639,0.331794,2,3,5,97
2,121529.000000,78473.000000,24,1164.944989,107216.737081,38.529469,0.387800,2,3,5,84
3,95903.000000,104099.000000,10,4229.746230,5919659.119346,47.299088,0.199201,2,2,5,102
4,103671.000000,96331.000000,16,3870.453351,5613256.441556,39.675281,0.324713,2,2,5,94
5,103711.000000,96291.000000,13,1312.379002,199131.960369,37.050777,0.413178,2,2,5,100
6,112016.000000,87986.000000,19,2523.551184,1580452.387512,36.063079,0.488701,2,2,5,95
7,108505.000000,91497.000000,23,1335.541779,188051.941677,40.545493,0.332102,2,2,5,89
8,105841.000000,94161.000000,16,2252.959826,1456666.462365,40.582152,0.256430,2,2,5,99
9,97176.000000,102826.000000,10,2903.429554,1020702.099562,42.114051,0.270360,2,2,5,103
10,82778.000000,117224.000000,8,8520.301870,29373864.502306,41.430128,0.303652,2,2,5,95
11,102303.000000,97699.000000,11,3101.240405,2161477.304608,41.495896,0.354173,2,2,5,105
12,117154.000000,82848.000000,20,2720.072633,2499593.089526,38.072629,0.361542,2,2,5,101
13,100719.000000,99283.000000,13,2109.582676,995224.559874,43.763142,0.324655,2,2,5,98
14,105606.000000,94396.000000,10,1927.425215,920386.580177,40.317938,0.333382,2,2,5,102
15,96267.000000,103735.000000,10,4241.374311,2058323.773042,48.258354,0.297771,2,2,5,101
16,105718.000000,94284.000000,16,4191.172026,5473168.117605,44.465295,0.236275,2,2,5,99
17,96641.000000,103361.000000,14,6764.045546,17412392.693727,45.647010,0.331417,2,2,5,99
18,100137.000000,99865.000000,19,2782.573863,1043289.047730,39.120332,0.274171,2,2,5,90
19,106069.000000,93933.000000,12,2615.094910,2547581.270224,41.173125,0.262976,2,2,5,101
20,89509.000000,110493.000000,7,9748.261163,39907867.032871,43.384729,0.291698,2,2,5,109
21,103383.000000,96619.000000,13,814.987508,228702.025802,47.834426,0.146590,2,2,5,94
22,105830.000000,94172.000000,12,2082.061334,732465.542679,43.650053,0.247167,2,2,5,102
23,108474.000000,91528.000000,21,6430.299697,17964541.055515,39.450473,0.265259,2,2,5,92
24,111821.000000,88181.000000,22,1559.495741,436578.971551,39.272013,0.284457,2,2,5,89
25,110202.000000,89800.000000,23,1525.581807,318103.888878,39.744273,0.273125,2,2,5,90
26,98298.000000,101704.000000,11,2460.896042,1020788.198929,44.701050,0.261632,2,2,5,101
27,109847.000000,90155.000000,17,3632.620422,12875937.760933,39.688630,0.269491,2,2,5,86
28,108083.000000,91919.000000,13,2438.935805,1361868.740818,41.456363,0.271488,2,2,5,94
29,108816.000000,91186.000000,22,1978.204126,3255113.075533,39.153346,0.389697,2,3,5,84
30,104392.000000,95610.000000,11,1849.421098,928977.589992,41.701431,0.301559,2,3,5,102
31,98135.000000,101867.000000,11,3757.961880,4163183.442716,40.399305,0.268560,2,3,5,103
32,95210.000000,104792.000000,13,3946.650062,5273636.652891,43.628893,0.238985,2,3,5,95
33,99254.000000,100748.000000,15,2274.264409,1362674.786035,42.940599,0.214345,2,3,4,96
34,88559.000000,111443.000000,6,1572.784390,532287.445109,49.099098,0.210268,2,3,4,104
35,101122.000000,98880.000000,9,4227.373705,10124488.713273,42.983587,0.285104,2,3,4,102
36,94048.000000,105954.000000,11,3942.802211,4531506.548994,48.673140,0.269395,2,3,4,108
37,102773.000000,97229.000000,15,1545.788431,734005.483052,39.677704,0.260317,2,3,4,97
38,93425.000000,106577.000000,8,3280.237153,7802393.428113,42.556686,0.359455,2,3,4,104
39,115734.000000,84268.000000,20,1978.726538,386960.422519,39.023246,0.342599,2,3,4,90
40,96495.000000,103507.000000,14,1200.601481,139554.704614,40.226039,0.395296,2,3,4,100
41,92850.000000,107152.000000,10,2102.927888,688573.370001,45.414836,0.212990,2,3,4,97
42,98619.000000,101383.000000,14,2157.478490,1421628.722342,43.919540,0.262824,2,3,4,100
43,94597.000000,105405.000000,14,2326.070147,816179.853869,41.080181,0.300080,2,3,4,99
44,137787.000000,62215.000000,35,2245.701767,4537160.494818,31.330313,0.788673,2,3,4,92
45,108007.000000,91995.000000,17,2196.784534,3381415.393634,37.249228,0.633983,2,3,4,109
46,127600.000000,72402.000000,31,2103.784619,2600156.315652,32.526974,0.770717,2,3,4,89
47,121337.000000,78665.000000,27,2036.000394,2403794.936451,31.791156,0.824523,2,3,4,97
48,128890.000000,71112.000000,33,1491.736299,971183.137127,32.880515,0.676263,2,3,4,90
49,124883.000000,75119.000000,31,2523.192568,3285691.174844,32.736079,0.755589,2,3,4,97
50,116781.000000,83221.000000,22,2237.065869,3112195.159193,37.256560,0.608942,2,3,4,112
51,120071.000000,79931.000000,26,2106.844567,4785242.375629,33.816555,0.696668,2,3,4,97
52,115252.000000,84750.000000,24,2693.961748,6208564.616787,34.268785,0.679105,2,3,4,96
53,137196.000000,62806.000000,38,1544.668699,908468.190933,31.292151,0.731825,2,3,4,86
54,119079.000000,80923.000000,26,1784.462727,2035280.732912,35.268186,0.676439,2,3,4,94
55,123530.000000,76472.000000,36,1673.714660,672627.335445,32.585068,0.725457,2,3,4,88
56,127061.000000,72941.000000,32,1782.560781,1603739.728758,32.606536,0.730083,2,3,4,105
57,118446.000000,81556.000000,23,1876.633456,3227540.780656,35.010745,0.653584,2,3,4,93
58,118596.000000,81406.000000,25,1667.342639,875900.322773,34.308360,0.624630,2,3,4,88
59,122337.000000,77665.000000,30,1252.171284,311078.706470,33.714471,0.659638,2,3,4,98
60,126325.000000,73677.000000,35,1811.647619,2485294.079562,32.705285,0.709320,2,3,4,88
61,129034.000000,70968.000000,34,1472.335983,927581.453794,31.318319,0.737981,2,3,4,97
62,135036.000000,64966.000000,36,1466.403417,668569.933729,31.976674,0.773099,2,3,4,82
63,121653.000000,78349.000000,25,2276.556684,2912170.103463,34.633338,0.662538,2,3,4,97
64,127327.000000,72675.000000,27,1437.099497,874921.005698,33.233381,0.685413,2,3,4,99
65,123634.000000,76368.000000,27,1806.012423,1641190.977574,33.946544,0.678749,2,3,4,93
66,134613.000000,65389.000000,35,1358.920818,393351.477841,31.066623,0.763217,2,3,4,97
67,119362.000000,80640.000000,25,1927.101095,3594614.305990,34.151917,0.638926,2,3,4,96
68,126431.000000,73571.000000,26,1892.701646,2664115.597509,33.926813,0.694610,2,3,4,94
69,132163.000000,67839.000000,37,1626.829212,1226496.046681,31.628399,0.747866,3,3,4,91
70,105709.000000,94293.000000,16,1937.628119,1552716.982758,38.900766,0.613479,3,3,4,105
71,119420.000000,80582.000000,21,1763.692182,1583233.208384,35.188147,0.664844,3,3,4,95
72,133756.000000,66246.000000,33,1289.588544,490680.377337,31.710431,0.729459,3,3,4,90
73,133585.000000,66417.000000,33,1470.523264,639448.220828,31.664761,0.747141,3,3,4,88
74,119850.000000,80152.000000,23,1461.462444,1095835.484674,34.186293,0.698490,3,3,4,100
75,128154.000000,71848.000000,31,1194.404002,419898.882526,33.525253,0.662685,3,4,4,91
76,133303.000000,66699.000000,33,1371.379550,648482.438665,31.869080,0.750596,3,4,4,92
77,123983.000000,76019.000000,31,1428.879944,1026764.193551,34.036839,0.671216,3,4,4,99
78,126006.000000,73996.000000,36,1403.255323,740489.022129,33.499194,0.686896,3,4,4,80
79,117516.000000,82486.000000,27,1284.514019,455908.224451,34.939060,0.613720,3,4,4,95
80,129300.000000,70702.000000,32,1134.750693,353210.195427,33.138793,0.692302,3,4,4,93
81,129336.000000,70666.000000,33,1558.307885,1490857.352288,32.050061,0.731624,3,4,4,95
82,121501.000000,78501.000000,29,1808.981729,1524525.093169,34.262541,0.661291,3,4,4,85
83,131099.000000,68903.000000,37,1335.367160,599769.903733,32.179269,0.749600,2,2,4,89
84,123504.000000,76498.000000,29,1435.121198,991587.321653,34.715458,0.638351,2,2,4,102
85,120830.000000,79172.000000,30,1615.644308,2148033.074060,33.234411,0.683915,1,1,4,89
86,130343.000000,69659.000000,38,1419.632371,771698.700156,31.462162,0.773390,1,1,4,81
87,124581.000000,75421.000000,31,1351.272908,695269.282465,34.382703,0.655265,1,1,4,98
88,136564.000000,63438.000000,39,1171.283291,624998.322056,31.332346,0.781315,1,1,4,98
89,125907.000000,74095.000000,38,946.153919,171648.850163,31.641408,0.764822,1,1,4,88
90,131358.000000,68644.000000,40,742.921134,68140.149483,31.056850,0.760215,1,1,4,80
91,117398.000000,82604.000000,32,1112.645453,329313.787914,34.365079,0.749542,1,1,4,87
92,137626.000000,62376.000000,42,823.472011,147377.065444,30.480709,0.825680,1,1,4,83
93,130252.000000,69750.000000,35,1112.771363,344464.567090,32.450246,0.789290,1,1,4,84
94,147316.000000,52686.000000,44,715.607497,102046.757317,29.442067,0.942462,1,1,4,85
95,129229.000000,70773.000000,27,1021.980064,300378.420607,32.513644,0.732288,1,1,4,102
96,137937.000000,62065.000000,38,863.464544,148396.888512,31.905607,0.738362,1,1,4,94
97,118856.000000,81146.000000,29,843.802907,106939.518424,33.758049,0.690422,1,1,4,85
98,130173.000000,69829.000000,37,1192.216140,578202.121219,31.675166,0.778308,1,1,4,83
99,134415.000000,65587.000000,37,986.129653,272167.267960,32.089633,0.698155,1,1,4,93
100,123781.000000,76221.000000,30,1021.198881,337510.119003,33.233446,0.709532,1,1,4,90
